location_id,datetimeUtc,pm2.5,pm10,o3,no2,so2,co,temperature,humidity,AQI
5408,2025-05-01 00:15:00+00:00,19.0,28.0,4.1,35.9,10.0,970.0,22.9,84.0,48
5408,2025-05-01 00:30:00+00:00,19.0,28.0,5.5,36.1,9.5,890.0,23.2,83.0,45
5408,2025-05-01 00:45:00+00:00,19.0,28.0,8.0,36.0,9.2,1030.0,23.4,83.0,45
5408,2025-05-01 01:00:00+00:00,19.0,28.0,8.4,34.6,8.9,1060.0,23.5,82.0,43
5408,2025-05-01 01:30:00+00:00,17.0,23.0,15.3,35.2,8.9,920.0,23.9,78.0,46
5408,2025-05-01 01:45:00+00:00,17.0,23.0,17.4,33.5,8.8,950.0,24.3,77.0,48
5408,2025-05-01 02:00:00+00:00,17.0,23.0,16.9,33.7,9.1,1150.0,25.0,76.0,54
5408,2025-05-01 02:15:00+00:00,16.0,31.0,19.0,34.6,8.9,1020.0,25.4,74.0,43
5408,2025-05-01 02:30:00+00:00,16.0,31.0,21.2,34.8,8.8,970.0,25.8,73.0,48
5408,2025-05-01 02:45:00+00:00,16.0,31.0,22.3,35.3,9.0,860.0,26.5,72.0,44
5408,2025-05-01 03:00:00+00:00,16.0,31.0,22.7,35.0,8.9,1040.0,27.1,70.0,44
5408,2025-05-01 03:15:00+00:00,17.0,30.0,23.5,33.9,9.1,610.0,27.4,70.0,42
5408,2025-05-01 03:30:00+00:00,17.0,30.0,22.0,34.1,9.1,230.0,27.8,70.0,43
5408,2025-05-01 03:45:00+00:00,17.0,30.0,22.0,34.2,9.0,370.0,27.9,70.0,43
5408,2025-05-01 04:00:00+00:00,17.0,30.0,22.5,35.0,9.0,250.0,28.4,69.0,44
5408,2025-05-01 04:15:00+00:00,13.0,26.0,19.4,34.1,9.4,230.0,29.0,67.0,43
5408,2025-05-01 04:30:00+00:00,13.0,26.0,17.4,36.9,9.2,540.0,29.4,64.0,46
5408,2025-05-01 04:45:00+00:00,13.0,26.0,22.0,36.3,9.2,580.0,29.7,63.0,45
5408,2025-05-01 05:00:00+00:00,13.0,26.0,22.0,38.4,9.1,470.0,30.1,61.0,48
